iter	MAE
0	3.732624911
1	3.676791065
2	3.637513408
3	3.59466573
4	3.532572088
5	3.455496779
6	3.392835576
7	3.324665991
8	3.257525494
9	3.192627209
10	3.155207901
11	3.087340323
12	3.040101684
13	3.019730148
14	3.000431622
15	2.9575584
16	2.917331818
17	2.868791043
18	2.821818715
19	2.769239574
20	2.724648743
21	2.678705546
22	2.640982719
23	2.601390354
24	2.557720158
25	2.520598619
26	2.48347538
27	2.449291243
28	2.413275085
29	2.386122346
30	2.353739028
31	2.323662973
32	2.291962688
33	2.26197659
34	2.232717983
35	2.213291597
36	2.19250305
37	2.171795166
38	2.153568022
39	2.132732711
40	2.112609365
41	2.091247536
42	2.076342459
43	2.054785196
44	2.038971853
45	2.025043839
46	2.003647369
47	1.984062823
48	1.9620979
49	1.945686995
50	1.932637513
51	1.919426377
52	1.908177475
53	1.890260509
54	1.880297742
55	1.863600613
56	1.848363789
57	1.832833327
58	1.822768469
59	1.809027442
60	1.797818289
61	1.787015198
62	1.778683611
63	1.764139588
64	1.756655376
65	1.745580468
66	1.735958258
67	1.72800765
68	1.720574045
69	1.715280392
70	1.706711476
71	1.7020144
72	1.694252476
73	1.689533459
74	1.681707772
75	1.675239877
76	1.668281838
77	1.661103404
78	1.657381951
79	1.651710588
80	1.644410796
81	1.637874909
82	1.632825308
83	1.629329335
84	1.623527273
85	1.619104877
86	1.613581445
87	1.608205697
88	1.601731948
89	1.594177796
90	1.588133193
91	1.586090236
92	1.582442401
93	1.576437258
94	1.571559111
95	1.567058384
96	1.56310318
97	1.560715708
98	1.557103903
99	1.552230223
100	1.54799379
101	1.542889615
102	1.538524532
103	1.535713795
104	1.532849728
105	1.528793252
106	1.52640411
107	1.521112966
108	1.517745448
109	1.515416809
110	1.510944137
111	1.507104527
112	1.503945233
113	1.502237602
114	1.499200461
115	1.496986762
116	1.494330718
117	1.492158815
118	1.490324165
119	1.489753043
120	1.486888145
121	1.483365655
122	1.481491766
123	1.479036674
124	1.475535277
125	1.473376648
126	1.46974815
127	1.467923314
128	1.465011289
129	1.463062294
130	1.460030865
131	1.457899313
132	1.455085816
133	1.453370427
134	1.450758581
135	1.447477473
136	1.444803033
137	1.443082838
138	1.440334681
139	1.437418798
140	1.435412953
141	1.433315788
142	1.43034586
143	1.428662031
144	1.425619154
145	1.424335377
146	1.422268467
147	1.419467477
148	1.418244564
149	1.416977823
150	1.415111784
151	1.413959616
152	1.412033564
153	1.41034366
154	1.407526767
155	1.405513394
156	1.403324049
157	1.401471401
158	1.398705822
159	1.39679674
160	1.394590013
161	1.39214856
162	1.390218815
163	1.389018681
164	1.387443312
165	1.385549138
166	1.38479443
167	1.383160523
168	1.379550312
169	1.378441881
170	1.375771801
171	1.372566214
172	1.370157424
173	1.369181569
174	1.366939504
175	1.36634493
176	1.364780816
177	1.36177312
178	1.359284398
179	1.358215366
180	1.356619734
181	1.354020962
182	1.351973574
183	1.350910679
184	1.348624941
185	1.346530353
186	1.345123728
187	1.343541165
188	1.340323839
189	1.338144694
190	1.336362484
191	1.334176912
192	1.331997236
193	1.32979071
194	1.32854351
195	1.326858168
196	1.325711425
197	1.324226824
198	1.322812747
199	1.321154545
200	1.320135388
201	1.318295027
202	1.317374953
203	1.313588514
204	1.312684463
205	1.312087035
206	1.310652122
207	1.309751575
208	1.307906976
209	1.306980116
210	1.306201683
211	1.304107046
212	1.30265062
213	1.301291828
214	1.299615744
215	1.298534666
216	1.296696336
217	1.295360106
218	1.293232908
219	1.291913982
220	1.290734259
221	1.289120451
222	1.287904839
223	1.286998081
224	1.285849814
225	1.285168941
226	1.283935782
227	1.282294143
228	1.281247299
229	1.27947363
230	1.277618946
231	1.276612378
232	1.276047024
233	1.274129821
234	1.273093443
235	1.271705721
236	1.270696759
237	1.269656519
238	1.268459497
239	1.267250427
240	1.266332359
241	1.264795479
242	1.264241903
243	1.263203459
244	1.262089089
245	1.260860531
246	1.259032671
247	1.258570861
248	1.257508132
249	1.25647622
250	1.255949537
251	1.255065859
252	1.253881689
253	1.252743464
254	1.251503321
255	1.250744459
256	1.24938766
257	1.24813014
258	1.247313816
259	1.246998913
260	1.245888594
261	1.245296174
262	1.244871865
263	1.244301057
264	1.242544611
265	1.241669043
266	1.241016412
267	1.239616088
268	1.237209936
269	1.235843391
270	1.234804486
271	1.234193551
