iter	Passed	Remaining
0	19	198160
1	29	145961
2	39	129998
3	47	118447
4	55	111338
5	64	107138
6	72	103637
7	80	100615
8	88	98301
9	96	96487
10	104	95094
11	112	93827
12	121	92958
13	129	92091
14	137	91245
15	145	90826
16	153	90160
17	161	89743
18	170	89452
19	178	89047
20	186	88597
21	194	88219
22	202	87944
23	210	87569
24	218	87315
25	227	87140
26	235	86846
27	243	86635
28	251	86396
29	259	86184
30	267	85973
31	275	85834
32	283	85693
33	291	85534
34	299	85403
35	308	85386
36	319	86014
37	328	86143
38	336	85986
39	345	85911
40	353	85770
41	360	85571
42	369	85453
43	377	85316
44	384	85150
45	392	85013
46	400	84905
47	408	84770
48	416	84667
49	424	84544
50	432	84429
51	441	84492
52	449	84404
53	457	84304
54	465	84257
55	474	84205
56	482	84097
57	490	84087
58	498	84030
59	506	83990
60	515	83932
61	523	83894
62	531	83825
63	539	83758
64	548	83766
65	555	83676
66	563	83612
67	572	83586
68	580	83549
69	589	83570
70	597	83564
71	605	83547
72	613	83492
73	622	83477
74	630	83411
75	638	83393
76	646	83371
77	654	83302
78	663	83264
79	671	83266
80	679	83201
81	687	83167
82	695	83149
83	704	83127
84	712	83072
85	720	83041
86	728	83003
87	736	82970
88	744	82914
89	752	82890
90	761	82876
91	769	82857
92	777	82835
93	785	82795
94	793	82745
95	801	82697
96	809	82691
97	818	82658
98	825	82596
99	834	82566
100	842	82534
101	849	82469
102	858	82447
103	865	82402
104	873	82341
105	881	82322
106	890	82321
107	898	82314
108	906	82288
109	915	82268
110	923	82266
111	931	82249
112	939	82228
113	947	82188
114	956	82183
115	964	82155
116	972	82131
117	980	82114
118	989	82190
119	998	82188
120	1007	82245
121	1017	82346
122	1029	82672
123	1039	82758
124	1048	82845
125	1056	82815
126	1064	82782
127	1072	82751
128	1081	82756
129	1089	82718
130	1099	82836
131	1107	82815
132	1116	82802
133	1123	82745
134	1132	82730
135	1140	82696
136	1148	82659
137	1156	82623
138	1164	82613
139	1172	82583
140	1180	82555
141	1190	82654
142	1208	83329
143	1222	83651
144	1232	83736
145	1240	83740
146	1249	83725
147	1257	83699
148	1267	83779
149	1275	83766
150	1283	83731
151	1292	83763
152	1302	83806
153	1311	83874
154	1320	83887
155	1329	83911
156	1341	84090
157	1350	84108
158	1359	84155
159	1368	84163
160	1377	84187
161	1386	84198
162	1395	84221
163	1407	84416
164	1417	84506
165	1428	84613
166	1437	84664
167	1446	84657
168	1455	84695
169	1464	84687
170	1473	84712
171	1482	84715
172	1492	84776
173	1501	84794
174	1512	84922
175	1522	84989
176	1532	85028
177	1541	85057
178	1550	85048
179	1558	85050
180	1567	85056
181	1578	85138
182	1587	85182
183	1596	85161
184	1605	85178
185	1613	85139
186	1623	85216
187	1632	85204
188	1641	85207
189	1651	85261
190	1660	85268
191	1668	85240
192	1676	85211
193	1685	85191
194	1693	85166
195	1702	85140
196	1710	85105
197	1718	85058
198	1726	85017
199	1734	84974
200	1742	84934
201	1750	84897
202	1758	84844
203	1765	84799
204	1774	84788
205	1786	84934
206	1801	85228
207	1809	85208
208	1819	85226
209	1827	85195
210	1835	85162
211	1843	85131
212	1852	85122
213	1860	85076
214	1868	85039
215	1876	84995
216	1884	84972
217	1893	84956
218	1901	84938
219	1910	84951
220	1920	84987
221	1929	84986
222	1937	84948
223	1946	84957
224	1954	84926
225	1962	84892
226	1971	84870
227	1979	84847
228	1987	84815
229	1996	84790
230	2003	84748
231	2012	84715
232	2020	84701
233	2028	84664
234	2036	84625
235	2044	84595
236	2052	84565
237	2060	84530
238	2069	84513
239	2077	84498
240	2086	84482
241	2095	84476
242	2103	84467
243	2112	84483
244	2122	84516
245	2132	84537
246	2140	84529
247	2149	84536
248	2158	84522
249	2167	84523
250	2176	84538
251	2186	84561
252	2195	84569
253	2204	84576
254	2213	84585
255	2222	84575
256	2231	84616
257	2240	84612
258	2249	84622
259	2258	84607
260	2269	84686
261	2279	84727
262	2289	84746
263	2298	84762
264	2306	84743
265	2316	84757
266	2324	84743
267	2333	84740
268	2343	84762
269	2352	84777
270	2361	84780
271	2370	84766
272	2379	84776
273	2388	84770
274	2398	84802
275	2406	84792
276	2415	84791
277	2424	84778
278	2433	84779
279	2441	84769
280	2451	84789
281	2461	84818
282	2470	84825
283	2480	84845
284	2488	84832
285	2497	84831
286	2506	84819
287	2515	84823
288	2524	84823
289	2533	84840
290	2543	84851
291	2552	84845
292	2561	84873
293	2570	84863
294	2580	84884
295	2589	84900
296	2598	84898
297	2607	84890
298	2616	84902
299	2626	84910
300	2635	84931
301	2645	84949
302	2653	84933
303	2662	84935
304	2671	84919
305	2681	84933
306	2691	84971
307	2700	84964
308	2709	84973
309	2718	84960
310	2727	84968
311	2736	84968
312	2746	84986
313	2755	84996
314	2764	85004
315	2773	84999
316	2782	84999
317	2792	85021
318	2801	85034
319	2811	85045
320	2820	85033
321	2829	85032
322	2837	85011
323	2846	85002
324	2855	84991
325	2863	84971
326	2871	84949
327	2880	84937
328	2888	84903
329	2896	84881
330	2904	84850
331	2913	84845
332	2921	84820
333	2930	84815
334	2939	84793
335	2946	84760
336	2955	84737
337	2963	84710
338	2971	84679
339	2979	84658
340	2987	84633
341	2995	84606
342	3003	84571
343	3011	84543
344	3019	84511
345	3028	84489
346	3036	84456
347	3043	84423
348	3051	84393
349	3059	84367
350	3067	84329
351	3075	84297
352	3083	84273
353	3091	84246
354	3099	84219
355	3108	84210
356	3116	84184
357	3124	84158
358	3132	84135
359	3141	84111
360	3149	84087
361	3157	84059
362	3165	84046
363	3173	84018
364	3181	83994
365	3190	83969
366	3198	83946
367	3206	83928
368	3214	83902
369	3222	83878
370	3230	83848
371	3238	83818
372	3246	83788
373	3254	83764
374	3262	83730
375	3270	83713
376	3278	83691
377	3286	83666
378	3294	83636
379	3303	83621
380	3310	83591
381	3318	83562
382	3327	83543
383	3335	83519
384	3343	83491
385	3351	83463
386	3359	83438
387	3367	83413
388	3375	83399
389	3383	83368
390	3391	83345
391	3399	83324
392	3407	83292
393	3415	83268
394	3423	83239
395	3431	83217
396	3439	83195
397	3447	83171
398	3455	83146
399	3463	83120
400	3471	83097
401	3479	83068
402	3487	83050
403	3495	83027
404	3503	83006
405	3511	82979
406	3519	82957
407	3527	82932
408	3535	82912
409	3543	82886
410	3552	82878
411	3560	82851
412	3568	82825
413	3577	82825
414	3585	82807
415	3593	82786
416	3601	82775
417	3609	82750
418	3617	82730
419	3626	82712
420	3634	82689
421	3642	82664
422	3650	82642
423	3658	82617
424	3666	82600
425	3674	82579
426	3682	82555
427	3690	82532
428	3698	82519
429	3707	82504
430	3715	82491
431	3723	82468
432	3731	82448
433	3739	82428
434	3748	82418
435	3756	82400
436	3764	82374
437	3772	82356
438	3780	82330
439	3788	82316
440	3797	82305
441	3805	82282
442	3812	82256
443	3820	82236
444	3830	82247
445	3840	82271
446	3848	82255
447	3857	82237
448	3864	82212
449	3873	82194
450	3880	82170
451	3888	82148
452	3897	82130
453	3904	82106
454	3912	82081
455	3920	82060
456	3928	82037
457	3936	82017
458	3944	82002
459	3952	81980
460	3960	81958
461	3969	81946
462	3977	81931
463	3985	81906
464	3993	81891
465	4001	81869
466	4009	81852
467	4017	81835
468	4026	81820
469	4034	81807
470	4043	81795
471	4051	81781
472	4059	81757
473	4067	81738
474	4075	81723
475	4083	81703
476	4092	81698
477	4100	81676
478	4107	81653
479	4116	81637
480	4124	81616
481	4131	81593
482	4140	81574
483	4147	81553
484	4155	81533
485	4164	81521
486	4172	81503
487	4180	81479
488	4188	81465
489	4196	81447
490	4204	81434
491	4213	81417
492	4221	81401
493	4229	81384
494	4237	81367
495	4245	81344
496	4253	81326
497	4261	81312
498	4269	81294
499	4277	81276
500	4287	81286
501	4295	81265
502	4303	81244
503	4311	81227
504	4319	81213
505	4327	81197
506	4335	81185
507	4344	81173
508	4352	81158
509	4360	81145
510	4369	81133
511	4377	81122
512	4385	81109
513	4394	81101
514	4402	81087
515	4410	81073
516	4419	81059
517	4427	81044
518	4435	81028
519	4443	81013
520	4451	80992
521	4459	80977
522	4467	80959
523	4476	80953
524	4484	80941
525	4492	80925
526	4501	80907
527	4508	80888
528	4517	80883
529	4526	80870
530	4534	80860
531	4542	80850
532	4550	80832
533	4558	80810
534	4566	80791
535	4574	80771
536	4582	80755
537	4591	80744
538	4599	80730
539	4607	80714
540	4615	80696
541	4623	80682
542	4631	80665
543	4639	80649
544	4648	80637
545	4656	80622
546	4664	80603
547	4672	80585
548	4680	80575
549	4688	80558
550	4696	80539
551	4704	80523
